address,amount_idm,amount_wei,tier,note
0x2db825e600faf3a0fefdbd8f95da825ed74f9974,42048516.57998545,42048516579985450000000000,vested_20_6m,transfer terverifikasi
0x5c97b6915c9c580d033ac4072c4da5926492ff38,3781637.50723076,3781637507230760000000000,vested_20_6m,transfer terverifikasi
0x56a5851a11954c163c151a9b32a5e5ced9d86114,3023063.51006305,3023063510063050000000000,vested_20_6m,transfer terverifikasi
0x1425b9da624dc924e304f1f1e38f106e1075813f,2523266.59353777,2523266593537770000000000,vested_20_6m,transfer terverifikasi
0xc9ef25136bfcc68abfdb62742ac38be727680234,2115402.54778721,2115402547787210000000000,vested_20_6m,transfer terverifikasi
0x79e5f6e1ee27fe7c964c288741098d8ee7df2025,1493157.93687469,1493157936874690000000000,vested_20_6m,transfer terverifikasi
0xbf0eb8fc34d4499ec2566fd8ff521c398bb9bc3c,1416808.40555523,1416808405555230000000000,vested_20_6m,transfer terverifikasi
0x733a9513ab0aec742839d2d3c3bae1de4d7ff445,1354576.62521465,1354576625214650000000000,vested_20_6m,transfer terverifikasi
0x1abf98206fad1eb10fae2a86c6505c87df3932a7,1259800.15679785,1259800156797850000000000,vested_20_6m,transfer terverifikasi
0x66581b3aeca7fbd7167bf9d798b4b040cb7168bf,1230876.60146861,1230876601468610000000000,vested_20_6m,transfer terverifikasi
0xc291cbb0c695097fcbecfc3d0c8325acf97cebae,1199126.16242777,1199126162427770000000000,vested_20_6m,transfer terverifikasi
0xd751ce35e261a1303070334f3def08d653f15383,1045710.72838022,1045710728380220000000000,vested_20_6m,transfer terverifikasi
0x4869e38d8c6c4a24325a6f69e778c12f9e997c73,1002598.42149574,1002598421495740000000000,vested_20_6m,transfer terverifikasi
0x684cab07d32fc7fc54172e9eff2b650cad20d1f6,1001818.00000000,1001818000000000000000000,vested_20_6m,transfer terverifikasi
0xdc419770796818b1766cb256a755884bb2839a42,1001809.56019525,1001809560195250000000000,vested_20_6m,transfer terverifikasi
0x12f9ebb50e9fd87a9aebc5d39e6c094d1831ecce,1001694.74155762,1001694741557620000000000,vested_20_6m,transfer terverifikasi
0xe2264ee0b3e432877d8085350df721c6f75f5127,1001234.51283956,1001234512839560000000000,vested_20_6m,transfer terverifikasi
0x9a30a1794c194cbd1d7a136d5180f3106a6cb2cd,942120.31163503,942120311635030000000000,vested_20_6m,transfer terverifikasi
0xc291031eed6c3f2394c2a684aabbf05388b4baab,808526.71338554,808526713385540000000000,vested_20_6m,transfer terverifikasi
0x5d2d257443ce022d025e3df5618c5623e348f8a4,798671.01248666,798671012486660000000000,vested_20_6m,transfer terverifikasi
0xaf426533a211d89760370a40531079b58bc9839b,795809.92502334,795809925023340000000000,vested_20_6m,transfer terverifikasi
0xb6f3dc2d51e5e15b6af3026d8c3f3f6b76b0fc04,729406.73303065,729406733030650000000000,vested_20_6m,transfer terverifikasi
0x5d144c856a3425ef01a082465b9d4b6b6513ec6a,703316.00239992,703316002399920000000000,vested_20_6m,transfer terverifikasi
0xdeb3495fcc9794329dcb79613df66596be776d75,703262.80648345,703262806483450000000000,vested_20_6m,transfer terverifikasi
0x682a9e06e78c433d9c5f9a96d1f46a6bf07b00a5,701166.06395800,701166063958000000000000,vested_20_6m,transfer terverifikasi
0xd802ca33bf6aa8e5626ccbeb90a388c023111f01,697465.79450085,697465794500850000000000,vested_20_6m,transfer terverifikasi
0xc2a615128b2e677822fe45a470d894c5cf8b3079,688431.41445755,688431414457550000000000,vested_20_6m,transfer terverifikasi
0xdb91a78347ed0d5037aeb0458c642aed2a9355a2,659935.83075556,659935830755560000000000,vested_20_6m,transfer terverifikasi
0x86c637586d198f854b95f235902393eca789283d,625696.61270404,625696612704040000000000,vested_20_6m,transfer terverifikasi
0x84e3f956ffd20e98d38312b5ae1b3b51bba44396,616734.30220207,616734302202070000000000,vested_20_6m,transfer terverifikasi
0xcef86b1117a57f1b6a63f025765b78a2a6a0f17e,610320.67209079,610320672090790000000000,vested_20_6m,transfer terverifikasi
0x451c186fca89c0288ba27b1b58ada093f1185598,609558.35867450,609558358674500000000000,vested_20_6m,transfer terverifikasi
0x2247158816d8de99be70673d80cfadd35deeb0d7,607125.60685885,607125606858850000000000,vested_20_6m,transfer terverifikasi
0x3fecd7a7aba0bcdc26251a1d710bbd1e95366668,601016.48754676,601016487546760000000000,vested_20_6m,transfer terverifikasi
0x6afa9410e18d49d5290009176426889c82c1b2b9,592489.80116555,592489801165550000000000,vested_20_6m,transfer terverifikasi
0x4327df2b753a61ee57c9540662b9ee49277c795c,581330.68435061,581330684350610000000000,vested_20_6m,transfer terverifikasi
0xa04aaf40734467650890ec2d1c30d9717cdbeb16,575269.50802917,575269508029170000000000,vested_20_6m,transfer terverifikasi
0x6cb24013fd70f142a991be735f39783b62217167,572299.54944135,572299549441350000000000,vested_20_6m,transfer terverifikasi
0x764930835bfa317080d4a958482922ab674c31de,563881.41473184,563881414731840000000000,vested_20_6m,transfer terverifikasi
0x86342bc102cf1db5ccabab9fda50862df002076e,561500.08195002,561500081950020000000000,vested_20_6m,transfer terverifikasi
0x546e461dede32a44186a453c80de38fe0f3f40cd,558621.59826751,558621598267510000000000,vested_20_6m,transfer terverifikasi
0x4967a874c7958cf49f25fe739efc4233e2c2eab3,557232.30561465,557232305614650000000000,vested_20_6m,transfer terverifikasi
0xf62a824875ba58ad9dba0e69ba29422d4eec1533,551795.79254978,551795792549780000000000,vested_20_6m,transfer terverifikasi
0x5c932bbe4485c24e1a779872362e990dedf0d208,549751.53244785,549751532447850000000000,vested_20_6m,transfer terverifikasi
0x793ef17dfd2420a3b1193d39d07424d18e42b72d,545276.66889903,545276668899030000000000,vested_20_6m,transfer terverifikasi
0x9988b6e00e786d4e1df59b26a1190cb5751626a1,542100.44032187,542100440321870000000000,vested_20_6m,transfer terverifikasi
0x8931c5a397b35fd721111ed2823f943061e7cbd0,541420.33769633,541420337696330000000000,vested_20_6m,transfer terverifikasi
0x0c0dbd4bc52a83a548db849e843c51d48e9d447f,536611.62904001,536611629040010000000000,vested_20_6m,transfer terverifikasi
0xcf3949eef7f21f1e828bec471c94b6edfd999a27,532351.34603942,532351346039420000000000,vested_20_6m,transfer terverifikasi
0x46860b59909dd71e0b15f0542478977eb06447cf,531709.32338229,531709323382290000000000,vested_20_6m,transfer terverifikasi
0x0023d593cf41c379ec3d37f0ac424eb2ba9f6e91,523787.59514739,523787595147390000000000,vested_20_6m,transfer terverifikasi
0x679eb9f4a0ef1c0de46c5603283a3809966ee05e,520728.27246723,520728272467230000000000,vested_20_6m,transfer terverifikasi
0x1f564f2e1e296e4b58a9ff5def488318d8469864,517384.68504349,517384685043490000000000,vested_20_6m,transfer terverifikasi
0xf389b4edfb7d9a93cd3000ba9b228747e4942c52,517175.52578160,517175525781600000000000,vested_20_6m,transfer terverifikasi
0x65f891c9221b1a6550a915d192b2dd62740e5d7f,516670.35769319,516670357693190000000000,vested_20_6m,transfer terverifikasi
0x10a1bdafe1bed1542257a05013ea651f8c1924ae,516187.75362418,516187753624180000000000,vested_20_6m,transfer terverifikasi
0x596099877cecdd1efce42441c2225dcafd8b152a,515000.30516989,515000305169890000000000,vested_20_6m,transfer terverifikasi
0x1342cebfb194142e7d16421dc198041d948ed62a,513896.56689011,513896566890110000000000,vested_20_6m,transfer terverifikasi
